identifier,date_,open_,close_,MA_5,MA_20
9919,2020-10-12,42.9,40.1,42.480000000000004,41.872499999999995
9921,2020-10-12,272.0,272.5,278.9,279.475
9924,2020-10-12,44.0,43.75,43.17999999999999,43.285000000000004
9925,2020-10-12,36.6,36.6,36.4,36.470000000000006
9926,2020-10-12,43.9,43.9,43.32,42.955
9927,2020-10-12,28.0,27.65,27.750000000000007,28.2125
9928,2020-10-12,4.85,4.86,4.782,4.9885
9929,2020-10-12,12.85,12.55,12.74,12.882499999999999
9930,2020-10-12,45.85,45.5,45.16,44.93
9931,2020-10-12,40.0,41.0,40.76000000000001,40.685
9933,2020-10-12,39.7,39.1,39.57,39.165
9934,2020-10-12,14.8,14.8,14.73,14.907499999999999
9935,2020-10-12,35.0,32.9,34.33,33.7875
9937,2020-10-12,45.7,46.2,45.35,45.985
9938,2020-10-12,68.2,67.2,67.82,68.15
9939,2020-10-12,56.6,56.4,55.879999999999995,55.81
9940,2020-10-12,30.05,29.85,29.51,29.3825
9941,2020-10-12,99.7,99.3,99.32000000000001,99.125
9942,2020-10-12,64.2,63.8,63.92,64.13000000000001
9943,2020-10-12,62.7,62.1,62.28000000000001,62.735
9944,2020-10-12,22.95,22.35,22.940000000000005,22.7475
9945,2020-10-12,39.4,38.85,39.53000000000001,40.495
9946,2020-10-12,18.3001,18.5,18.410040000000002,18.140044999999997
9955,2020-10-12,19.15,18.75,18.98,19.7675
9958,2020-10-12,133.0,139.0,133.0,131.3
